GEMS Contest ID,Contest Sort Seq,District Type,District Type Subheading,District Name,Ballot Title,Ballots Counted for District,Registered Voters for District,Percent Turnout for District,Candidate Sort Seq,Ballot Response,Party Preference,Votes,Percent of Votes
62,810,Precinct Committee Officer,PRECINCT,BUR 33-0699,Precinct Committee Officer - Democratic,111,406,27.34,2,Cynthia Upthegrove,I affirm I am a Democrat.,46,50.55
62,810,Precinct Committee Officer,PRECINCT,BUR 33-0699,Precinct Committee Officer - Democratic,111,406,27.34,1,Kevin J Schilling,I affirm I am a Democrat.,45,49.45
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,22273,106023,21.01,2,Jolie Lansdowne,(Prefers Republican Party),3466,16.08
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,22273,106023,21.01,1,Joe Fitzgibbon,(Prefers Democratic Party),18057,83.78
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,22273,106023,21.01,12,Write-in,,31,0.14
118,830,Precinct Committee Officer,PRECINCT,BUR 33-3752,Precinct Committee Officer - Democratic,124,506,24.51,1,Donna Christensen-Salcedo,I affirm I am a Democrat.,31,45.59
118,830,Precinct Committee Officer,PRECINCT,BUR 33-3752,Precinct Committee Officer - Democratic,124,506,24.51,2,Sarah Brusig,I affirm I am a Democrat.,37,54.41
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,18526,100928,18.36,1,Chipalo Street,(Prefers Democratic Party),15689,92.30
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,18526,100928,18.36,12,Write-in,,135,0.79
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,18526,100928,18.36,2,Matt McCally,(Prefers Libertarian Party),1173,6.90
188,1450,Precinct Committee Officer,PRECINCT,SEA 46-1272,Precinct Committee Officer - Democratic,115,600,19.17,2,John Rhodes,I affirm I am a Democrat.,11,16.67
188,1450,Precinct Committee Officer,PRECINCT,SEA 46-1272,Precinct Committee Officer - Democratic,115,600,19.17,1,Lisa C. Stuebing,I affirm I am a Democrat.,55,83.33
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,16557,90629,18.27,1,Debra Jean Entenman,(Prefers Democratic Party),9286,57.70
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,16557,90629,18.27,12,Write-in,,42,0.26
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,16557,90629,18.27,2,Kyle Lyebyedyev,(Prefers Republican Party),6766,42.04
56,560,City,City/Town,City of Des Moines,Proposition No. 1,4247,19216,22.10,2,Rejected,,2211,53.24
