GEMS Contest ID,Contest Sort Seq,District Type,District Type Subheading,District Name,Ballot Title,Ballots Counted for District,Registered Voters for District,Percent Turnout for District,Candidate Sort Seq,Ballot Response,Party Preference,Votes,Percent of Votes
62,810,Precinct Committee Officer,PRECINCT,BUR 33-0699,Precinct Committee Officer - Democratic,218,406,53.69,2,Cynthia Upthegrove,I affirm I am a Democrat.,86,53.09
62,810,Precinct Committee Officer,PRECINCT,BUR 33-0699,Precinct Committee Officer - Democratic,218,406,53.69,1,Kevin J Schilling,I affirm I am a Democrat.,76,46.91
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,40778,106023,38.46,2,Jolie Lansdowne,(Prefers Republican Party),5807,14.80
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,40778,106023,38.46,1,Joe Fitzgibbon,(Prefers Democratic Party),33391,85.08
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,40778,106023,38.46,12,Write-in,,49,0.12
118,830,Precinct Committee Officer,PRECINCT,BUR 33-3752,Precinct Committee Officer - Democratic,251,506,49.60,1,Donna Christensen-Salcedo,I affirm I am a Democrat.,58,49.57
118,830,Precinct Committee Officer,PRECINCT,BUR 33-3752,Precinct Committee Officer - Democratic,251,506,49.60,2,Sarah Brusig,I affirm I am a Democrat.,59,50.43
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,35807,100928,35.48,1,Chipalo Street,(Prefers Democratic Party),30750,93.70
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,35807,100928,35.48,12,Write-in,,208,0.63
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,35807,100928,35.48,2,Matt McCally,(Prefers Libertarian Party),1858,5.66
188,1450,Precinct Committee Officer,PRECINCT,SEA 46-1272,Precinct Committee Officer - Democratic,258,600,43.00,2,John Rhodes,I affirm I am a Democrat.,21,16.03
188,1450,Precinct Committee Officer,PRECINCT,SEA 46-1272,Precinct Committee Officer - Democratic,258,600,43.00,1,Lisa C. Stuebing,I affirm I am a Democrat.,110,83.97
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,29081,90629,32.09,1,Debra Jean Entenman,(Prefers Democratic Party),16069,57.33
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,29081,90629,32.09,12,Write-in,,67,0.24
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,29081,90629,32.09,2,Kyle Lyebyedyev,(Prefers Republican Party),11893,42.43
56,560,City,City/Town,City of Des Moines,Proposition No. 1,6383,19216,33.22,2,Rejected,,3421,54.73
56,560,City,City/Town,City of Des Moines,Proposition No. 1,6383,19216,33.22,1,Approved,,2830,45.27
139,1170,Precinct Committee Officer,PRECINCT,SEA 34-1497,Precinct Committee Officer - Democratic,338,842,40.14,2,Rachel Glass,I affirm I am a Democrat.,147,70.67
139,1170,Precinct Committee Officer,PRECINCT,SEA 34-1497,Precinct Committee Officer - Democratic,338,842,40.14,1,Sarah Leon,I affirm I am a Democrat.,61,29.33
94,1520,Precinct Committee Officer,PRECINCT,SEA 46-2094,Precinct Committee Officer - Democratic,116,274,42.34,2,Michele Bat-or,I affirm I am a Democrat.,15,24.19
94,1520,Precinct Committee Officer,PRECINCT,SEA 46-2094,Precinct Committee Officer - Democratic,116,274,42.34,1,Cindy S Keyser,I affirm I am a Democrat.,47,75.81
