GEMS Contest ID,Contest Sort Seq,District Type,District Type Subheading,District Name,Ballot Title,Ballots Counted for District,Registered Voters for District,Percent Turnout for District,Candidate Sort Seq,Ballot Response,Party Preference,Votes,Percent of Votes
62,810,Precinct Committee Officer,PRECINCT,BUR 33-0699,Precinct Committee Officer - Democratic,183,406,45.07,2,Cynthia Upthegrove,I affirm I am a Democrat.,72,53.33
62,810,Precinct Committee Officer,PRECINCT,BUR 33-0699,Precinct Committee Officer - Democratic,183,406,45.07,1,Kevin J Schilling,I affirm I am a Democrat.,63,46.67
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,34190,106023,32.25,2,Jolie Lansdowne,(Prefers Republican Party),5105,15.49
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,34190,106023,32.25,1,Joe Fitzgibbon,(Prefers Democratic Party),27811,84.39
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,34190,106023,32.25,12,Write-in,,40,0.12
118,830,Precinct Committee Officer,PRECINCT,BUR 33-3752,Precinct Committee Officer - Democratic,185,506,36.56,1,Donna Christensen-Salcedo,I affirm I am a Democrat.,41,44.57
118,830,Precinct Committee Officer,PRECINCT,BUR 33-3752,Precinct Committee Officer - Democratic,185,506,36.56,2,Sarah Brusig,I affirm I am a Democrat.,51,55.43
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,26955,100928,26.71,1,Chipalo Street,(Prefers Democratic Party),22983,93.04
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,26955,100928,26.71,12,Write-in,,173,0.70
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,26955,100928,26.71,2,Matt McCally,(Prefers Libertarian Party),1546,6.26
188,1450,Precinct Committee Officer,PRECINCT,SEA 46-1272,Precinct Committee Officer - Democratic,214,600,35.67,2,John Rhodes,I affirm I am a Democrat.,19,17.12
188,1450,Precinct Committee Officer,PRECINCT,SEA 46-1272,Precinct Committee Officer - Democratic,214,600,35.67,1,Lisa C. Stuebing,I affirm I am a Democrat.,92,82.88
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,25510,90629,28.15,1,Debra Jean Entenman,(Prefers Democratic Party),14060,57.07
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,25510,90629,28.15,12,Write-in,,57,0.23
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,25510,90629,28.15,2,Kyle Lyebyedyev,(Prefers Republican Party),10521,42.70
56,560,City,City/Town,City of Des Moines,Proposition No. 1,5644,19216,29.37,2,Rejected,,2984,54.02
56,560,City,City/Town,City of Des Moines,Proposition No. 1,5644,19216,29.37,1,Approved,,2540,45.98
139,1170,Precinct Committee Officer,PRECINCT,SEA 34-1497,Precinct Committee Officer - Democratic,218,842,25.89,2,Rachel Glass,I affirm I am a Democrat.,89,67.42
139,1170,Precinct Committee Officer,PRECINCT,SEA 34-1497,Precinct Committee Officer - Democratic,218,842,25.89,1,Sarah Leon,I affirm I am a Democrat.,43,32.58
94,1520,Precinct Committee Officer,PRECINCT,SEA 46-2094,Precinct Committee Officer - Democratic,108,274,39.42,2,Michele Bat-or,I affirm I am a Democrat.,12,21.05
94,1520,Precinct Committee Officer,PRECINCT,SEA 46-2094,Precinct Committee Officer - Democratic,108,274,39.42,1,Cindy S Keyser,I affirm I am a Democrat.,45,78.95
136,900,Precinct Committee Officer,PRECINCT,DUV 45-3219,Precinct Committee Officer - Republican,229,817,28.03,2,Yuping Liu,I affirm I am a Republican.,10,20.83
136,900,Precinct Committee Officer,PRECINCT,DUV 45-3219,Precinct Committee Officer - Republican,229,817,28.03,1,Joseph H. Vandal,I affirm I am a Republican.,38,79.17
108,1270,Precinct Committee Officer,PRECINCT,SEA 37-1840,Precinct Committee Officer - Democratic,192,760,25.26,2,Mariah Odessa Mitchell,I affirm I am a Democrat.,41,42.71
108,1270,Precinct Committee Officer,PRECINCT,SEA 37-1840,Precinct Committee Officer - Democratic,192,760,25.26,3,Shelby Leo Green III,I affirm I am a Democrat.,21,21.88
108,1270,Precinct Committee Officer,PRECINCT,SEA 37-1840,Precinct Committee Officer - Democratic,192,760,25.26,1,Richard O'Neill,I affirm I am a Democrat.,34,35.42
