GEMS Contest ID,Contest Sort Seq,District Type,District Type Subheading,District Name,Ballot Title,Ballots Counted for District,Registered Voters for District,Percent Turnout for District,Candidate Sort Seq,Ballot Response,Party Preference,Votes,Percent of Votes
62,810,Precinct Committee Officer,PRECINCT,BUR 33-0699,Precinct Committee Officer - Democratic,234,406,57.64,2,Cynthia Upthegrove,I affirm I am a Democrat.,93,53.14
62,810,Precinct Committee Officer,PRECINCT,BUR 33-0699,Precinct Committee Officer - Democratic,234,406,57.64,1,Kevin J Schilling,I affirm I am a Democrat.,82,46.86
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,45684,106023,43.09,2,Jolie Lansdowne,(Prefers Republican Party),6375,14.52
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,45684,106023,43.09,1,Joe Fitzgibbon,(Prefers Democratic Party),37474,85.36
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,45684,106023,43.09,12,Write-in,,53,0.12
118,830,Precinct Committee Officer,PRECINCT,BUR 33-3752,Precinct Committee Officer - Democratic,263,506,51.98,1,Donna Christensen-Salcedo,I affirm I am a Democrat.,60,48.39
118,830,Precinct Committee Officer,PRECINCT,BUR 33-3752,Precinct Committee Officer - Democratic,263,506,51.98,2,Sarah Brusig,I affirm I am a Democrat.,64,51.61
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,38863,100928,38.51,1,Chipalo Street,(Prefers Democratic Party),33412,93.85
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,38863,100928,38.51,12,Write-in,,223,0.63
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,38863,100928,38.51,2,Matt McCally,(Prefers Libertarian Party),1965,5.52
188,1450,Precinct Committee Officer,PRECINCT,SEA 46-1272,Precinct Committee Officer - Democratic,270,600,45.00,2,John Rhodes,I affirm I am a Democrat.,23,17.16
188,1450,Precinct Committee Officer,PRECINCT,SEA 46-1272,Precinct Committee Officer - Democratic,270,600,45.00,1,Lisa C. Stuebing,I affirm I am a Democrat.,111,82.84
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,30926,90629,34.12,1,Debra Jean Entenman,(Prefers Democratic Party),17055,57.30
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,30926,90629,34.12,12,Write-in,,71,0.24
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,30926,90629,34.12,2,Kyle Lyebyedyev,(Prefers Republican Party),12637,42.46
56,560,City,City/Town,City of Des Moines,Proposition No. 1,7591,19216,39.50,2,Rejected,,4136,55.69
56,560,City,City/Town,City of Des Moines,Proposition No. 1,7591,19216,39.50,1,Approved,,3291,44.31
139,1170,Precinct Committee Officer,PRECINCT,SEA 34-1497,Precinct Committee Officer - Democratic,348,842,41.33,2,Rachel Glass,I affirm I am a Democrat.,150,70.09
139,1170,Precinct Committee Officer,PRECINCT,SEA 34-1497,Precinct Committee Officer - Democratic,348,842,41.33,1,Sarah Leon,I affirm I am a Democrat.,64,29.91
94,1520,Precinct Committee Officer,PRECINCT,SEA 46-2094,Precinct Committee Officer - Democratic,141,274,51.46,2,Michele Bat-or,I affirm I am a Democrat.,19,26.39
94,1520,Precinct Committee Officer,PRECINCT,SEA 46-2094,Precinct Committee Officer - Democratic,141,274,51.46,1,Cindy S Keyser,I affirm I am a Democrat.,53,73.61
136,900,Precinct Committee Officer,PRECINCT,DUV 45-3219,Precinct Committee Officer - Republican,349,817,42.72,2,Yuping Liu,I affirm I am a Republican.,12,15.19
136,900,Precinct Committee Officer,PRECINCT,DUV 45-3219,Precinct Committee Officer - Republican,349,817,42.72,1,Joseph H. Vandal,I affirm I am a Republican.,67,84.81
108,1270,Precinct Committee Officer,PRECINCT,SEA 37-1840,Precinct Committee Officer - Democratic,300,760,39.47,2,Mariah Odessa Mitchell,I affirm I am a Democrat.,60,43.48
108,1270,Precinct Committee Officer,PRECINCT,SEA 37-1840,Precinct Committee Officer - Democratic,300,760,39.47,3,Shelby Leo Green III,I affirm I am a Democrat.,34,24.64
108,1270,Precinct Committee Officer,PRECINCT,SEA 37-1840,Precinct Committee Officer - Democratic,300,760,39.47,1,Richard O'Neill,I affirm I am a Democrat.,44,31.88
51,175,State,Legislative,Legislative District No. 5,State Senator,46720,107598,43.42,1,Bill Ramos,(Prefers Democratic Party),24254,53.76
51,175,State,Legislative,Legislative District No. 5,State Senator,46720,107598,43.42,2,Chad Magendanz,(Prefers Republican Party),20822,46.15
51,175,State,Legislative,Legislative District No. 5,State Senator,46720,107598,43.42,12,Write-in,,41,0.09
6,60,State,State Executive,State of Washington,Governor,557761,1391729,40.08,13,Bob Ferguson,(Prefers Democratic Party),339439,61.31
6,60,State,State Executive,State of Washington,Governor,557761,1391729,40.08,26,A.L. Brown,(Prefers Republican Party),504,0.09
6,60,State,State Executive,State of Washington,Governor,557761,1391729,40.08,24,Alan Makayev,(Prefers Nonsense Busters Party),250,0.05
