GEMS Contest ID,Contest Sort Seq,District Type,District Type Subheading,District Name,Ballot Title,Ballots Counted for District,Registered Voters for District,Percent Turnout for District,Candidate Sort Seq,Ballot Response,Party Preference,Votes,Percent of Votes
62,810,Precinct Committee Officer,PRECINCT,BUR 33-0699,Precinct Committee Officer - Democratic,233,406,57.39,2,Cynthia Upthegrove,I affirm I am a Democrat.,93,53.14
62,810,Precinct Committee Officer,PRECINCT,BUR 33-0699,Precinct Committee Officer - Democratic,233,406,57.39,1,Kevin J Schilling,I affirm I am a Democrat.,82,46.86
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,45386,106023,42.81,2,Jolie Lansdowne,(Prefers Republican Party),6336,14.52
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,45386,106023,42.81,1,Joe Fitzgibbon,(Prefers Democratic Party),37236,85.35
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,45386,106023,42.81,12,Write-in,,53,0.12
118,830,Precinct Committee Officer,PRECINCT,BUR 33-3752,Precinct Committee Officer - Democratic,262,506,51.78,1,Donna Christensen-Salcedo,I affirm I am a Democrat.,60,48.78
118,830,Precinct Committee Officer,PRECINCT,BUR 33-3752,Precinct Committee Officer - Democratic,262,506,51.78,2,Sarah Brusig,I affirm I am a Democrat.,63,51.22
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,38590,100928,38.24,1,Chipalo Street,(Prefers Democratic Party),33185,93.85
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,38590,100928,38.24,12,Write-in,,223,0.63
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,38590,100928,38.24,2,Matt McCally,(Prefers Libertarian Party),1952,5.52
188,1450,Precinct Committee Officer,PRECINCT,SEA 46-1272,Precinct Committee Officer - Democratic,266,600,44.33,2,John Rhodes,I affirm I am a Democrat.,22,16.54
188,1450,Precinct Committee Officer,PRECINCT,SEA 46-1272,Precinct Committee Officer - Democratic,266,600,44.33,1,Lisa C. Stuebing,I affirm I am a Democrat.,111,83.46
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,30763,90629,33.94,1,Debra Jean Entenman,(Prefers Democratic Party),16978,57.32
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,30763,90629,33.94,12,Write-in,,71,0.24
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,30763,90629,33.94,2,Kyle Lyebyedyev,(Prefers Republican Party),12572,42.44
56,560,City,City/Town,City of Des Moines,Proposition No. 1,7356,19216,38.28,2,Rejected,,3973,55.25
56,560,City,City/Town,City of Des Moines,Proposition No. 1,7356,19216,38.28,1,Approved,,3218,44.75
139,1170,Precinct Committee Officer,PRECINCT,SEA 34-1497,Precinct Committee Officer - Democratic,347,842,41.21,2,Rachel Glass,I affirm I am a Democrat.,149,69.95
139,1170,Precinct Committee Officer,PRECINCT,SEA 34-1497,Precinct Committee Officer - Democratic,347,842,41.21,1,Sarah Leon,I affirm I am a Democrat.,64,30.05
